646s:  ts: 1461892149 rate=15192 iops
648s:  ts: 1461892151 rate=13640 iops
650s:  ts: 1461892153 rate=5486 iops
652s:  ts: 1461892155 rate=10250 iops
654s:  ts: 1461892157 rate=14426 iops
656s:  ts: 1461892159 rate=14774 iops
658s:  ts: 1461892161 rate=13298 iops
660s:  ts: 1461892163 rate=5286 iops
662s:  ts: 1461892165 rate=9657 iops
664s:  ts: 1461892167 rate=14621 iops
666s:  ts: 1461892169 rate=14857 iops
668s:  ts: 1461892171 rate=13678 iops
670s:  ts: 1461892173 rate=5979 iops
672s:  ts: 1461892175 rate=10875 iops
674s:  ts: 1461892177 rate=14033 iops
676s:  ts: 1461892179 rate=14422 iops
678s:  ts: 1461892181 rate=13074 iops
680s:  ts: 1461892183 rate=5578 iops
682s:  ts: 1461892185 rate=10909 iops
684s:  ts: 1461892187 rate=13797 iops
686s:  ts: 1461892189 rate=14996 iops
688s:  ts: 1461892191 rate=12976 iops
690s:  ts: 1461892193 rate=5272 iops
692s:  ts: 1461892195 rate=9450 iops
694s:  ts: 1461892197 rate=13489 iops
696s:  ts: 1461892199 rate=14784 iops
698s:  ts: 1461892201 rate=13728 iops
700s:  ts: 1461892203 rate=5948 iops
702s:  ts: 1461892205 rate=10880 iops
704s:  ts: 1461892207 rate=12871 iops
706s:  ts: 1461892209 rate=14944 iops
708s:  ts: 1461892211 rate=11687 iops
710s:  ts: 1461892213 rate=4634 iops
712s:  ts: 1461892215 rate=9738 iops
714s:  ts: 1461892217 rate=13032 iops
716s:  ts: 1461892219 rate=14577 iops
718s:  ts: 1461892221 rate=14501 iops
720s:  ts: 1461892223 rate=6200 iops
722s:  ts: 1461892225 rate=9382 iops
724s:  ts: 1461892227 rate=11536 iops
726s:  ts: 1461892229 rate=15258 iops
728s:  ts: 1461892231 rate=14351 iops
730s:  ts: 1461892233 rate=10041 iops
732s:  ts: 1461892235 rate=8637 iops
734s:  ts: 1461892237 rate=10694 iops
736s:  ts: 1461892239 rate=13761 iops
738s:  ts: 1461892241 rate=15588 iops
740s:  ts: 1461892243 rate=13807 iops
742s:  ts: 1461892245 rate=5192 iops
744s:  ts: 1461892247 rate=8384 iops
746s:  ts: 1461892249 rate=13054 iops
748s:  ts: 1461892251 rate=14775 iops
750s:  ts: 1461892253 rate=14640 iops
752s:  ts: 1461892255 rate=9290 iops
754s:  ts: 1461892257 rate=6774 iops
756s:  ts: 1461892259 rate=11745 iops
758s:  ts: 1461892261 rate=14198 iops
760s:  ts: 1461892263 rate=13976 iops
762s:  ts: 1461892265 rate=14926 iops
764s:  ts: 1461892267 rate=10550 iops
766s:  ts: 1461892269 rate=8637 iops
768s:  ts: 1461892271 rate=7077 iops
770s:  ts: 1461892273 rate=13248 iops
772s:  ts: 1461892275 rate=15135 iops
774s:  ts: 1461892277 rate=13654 iops
776s:  ts: 1461892279 rate=12009 iops
778s:  ts: 1461892281 rate=8455 iops
780s:  ts: 1461892283 rate=8830 iops
782s:  ts: 1461892285 rate=12054 iops
784s:  ts: 1461892287 rate=13916 iops
786s:  ts: 1461892289 rate=15042 iops
788s:  ts: 1461892291 rate=11981 iops
790s:  ts: 1461892293 rate=7974 iops
792s:  ts: 1461892295 rate=6806 iops
794s:  ts: 1461892297 rate=12607 iops
796s:  ts: 1461892299 rate=15100 iops
798s:  ts: 1461892301 rate=13278 iops
800s:  ts: 1461892303 rate=13304 iops
802s:  ts: 1461892305 rate=7611 iops
804s:  ts: 1461892307 rate=6945 iops
806s:  ts: 1461892309 rate=12829 iops
808s:  ts: 1461892311 rate=15053 iops
810s:  ts: 1461892313 rate=14172 iops
812s:  ts: 1461892315 rate=13109 iops
814s:  ts: 1461892317 rate=6109 iops
816s:  ts: 1461892319 rate=10932 iops
818s:  ts: 1461892321 rate=11870 iops
820s:  ts: 1461892323 rate=13442 iops
822s:  ts: 1461892325 rate=15049 iops
824s:  ts: 1461892327 rate=14927 iops
826s:  ts: 1461892329 rate=8271 iops
828s:  ts: 1461892331 rate=8895 iops
830s:  ts: 1461892333 rate=8209 iops
832s:  ts: 1461892335 rate=13662 iops
834s:  ts: 1461892337 rate=14793 iops
836s:  ts: 1461892339 rate=13840 iops
838s:  ts: 1461892341 rate=8489 iops
840s:  ts: 1461892343 rate=6994 iops
842s:  ts: 1461892345 rate=11526 iops
844s:  ts: 1461892347 rate=11711 iops
846s:  ts: 1461892349 rate=16445 iops
848s:  ts: 1461892351 rate=12975 iops
850s:  ts: 1461892353 rate=4680 iops
852s:  ts: 1461892355 rate=10877 iops
854s:  ts: 1461892357 rate=12339 iops
856s:  ts: 1461892359 rate=14306 iops
858s:  ts: 1461892361 rate=14212 iops
860s:  ts: 1461892363 rate=9562 iops
862s:  ts: 1461892365 rate=8967 iops
864s:  ts: 1461892367 rate=8799 iops
866s:  ts: 1461892369 rate=14324 iops
868s:  ts: 1461892371 rate=14177 iops
870s:  ts: 1461892373 rate=14464 iops
872s:  ts: 1461892375 rate=9138 iops
874s:  ts: 1461892377 rate=4028 iops
876s:  ts: 1461892379 rate=13508 iops
878s:  ts: 1461892381 rate=13994 iops
880s:  ts: 1461892383 rate=14592 iops
882s:  ts: 1461892385 rate=14188 iops
884s:  ts: 1461892387 rate=10749 iops
886s:  ts: 1461892389 rate=7146 iops
888s:  ts: 1461892391 rate=8022 iops
890s:  ts: 1461892393 rate=11802 iops
892s:  ts: 1461892395 rate=15320 iops
894s:  ts: 1461892397 rate=13005 iops
896s:  ts: 1461892399 rate=12738 iops
898s:  ts: 1461892401 rate=8861 iops
900s:  ts: 1461892403 rate=6781 iops
902s:  ts: 1461892405 rate=11805 iops
904s:  ts: 1461892407 rate=12012 iops
906s:  ts: 1461892409 rate=16118 iops
908s:  ts: 1461892411 rate=14025 iops
910s:  ts: 1461892413 rate=8266 iops
912s:  ts: 1461892415 rate=8617 iops
914s:  ts: 1461892417 rate=10255 iops
916s:  ts: 1461892419 rate=13747 iops
918s:  ts: 1461892421 rate=13792 iops
920s:  ts: 1461892423 rate=15141 iops
922s:  ts: 1461892425 rate=9676 iops
924s:  ts: 1461892427 rate=9152 iops
926s:  ts: 1461892429 rate=7353 iops
928s:  ts: 1461892431 rate=13185 iops
930s:  ts: 1461892433 rate=15305 iops
932s:  ts: 1461892435 rate=13655 iops
934s:  ts: 1461892437 rate=9882 iops
936s:  ts: 1461892439 rate=12072 iops
938s:  ts: 1461892441 rate=8994 iops
940s:  ts: 1461892443 rate=10686 iops
942s:  ts: 1461892445 rate=14051 iops
944s:  ts: 1461892447 rate=14472 iops
946s:  ts: 1461892449 rate=15331 iops
948s:  ts: 1461892451 rate=9741 iops
950s:  ts: 1461892453 rate=7779 iops
952s:  ts: 1461892455 rate=8454 iops
954s:  ts: 1461892457 rate=13354 iops
956s:  ts: 1461892459 rate=13992 iops
958s:  ts: 1461892461 rate=15090 iops
960s:  ts: 1461892463 rate=13076 iops
962s:  ts: 1461892465 rate=7514 iops
964s:  ts: 1461892467 rate=6045 iops
966s:  ts: 1461892469 rate=12933 iops
968s:  ts: 1461892471 rate=13041 iops
970s:  ts: 1461892473 rate=14427 iops
972s:  ts: 1461892475 rate=14008 iops
974s:  ts: 1461892477 rate=10926 iops
976s:  ts: 1461892479 rate=7993 iops
978s:  ts: 1461892481 rate=7227 iops
980s:  ts: 1461892483 rate=11734 iops
982s:  ts: 1461892485 rate=14974 iops
984s:  ts: 1461892487 rate=13043 iops
986s:  ts: 1461892489 rate=14006 iops
988s:  ts: 1461892491 rate=8917 iops
990s:  ts: 1461892493 rate=8752 iops
992s:  ts: 1461892495 rate=9364 iops
994s:  ts: 1461892497 rate=9675 iops
996s:  ts: 1461892499 rate=16154 iops
998s:  ts: 1461892501 rate=15196 iops
1000s:  ts: 1461892503 rate=10774 iops
1002s:  ts: 1461892505 rate=9018 iops
1004s:  ts: 1461892507 rate=8748 iops
1006s:  ts: 1461892509 rate=12307 iops
1008s:  ts: 1461892511 rate=10280 iops
1010s:  ts: 1461892513 rate=14376 iops
1012s:  ts: 1461892515 rate=14059 iops
1014s:  ts: 1461892517 rate=8359 iops
1016s:  ts: 1461892519 rate=8263 iops
1018s:  ts: 1461892521 rate=10075 iops
1020s:  ts: 1461892523 rate=13690 iops
1022s:  ts: 1461892525 rate=15713 iops
1024s:  ts: 1461892527 rate=11557 iops
1026s:  ts: 1461892529 rate=12864 iops
1028s:  ts: 1461892531 rate=8324 iops
1030s:  ts: 1461892533 rate=8743 iops
1032s:  ts: 1461892535 rate=12888 iops
1034s:  ts: 1461892537 rate=14156 iops
1036s:  ts: 1461892539 rate=14435 iops
1038s:  ts: 1461892541 rate=14083 iops
1040s:  ts: 1461892543 rate=9198 iops
1042s:  ts: 1461892545 rate=8964 iops
1044s:  ts: 1461892547 rate=7497 iops
1046s:  ts: 1461892549 rate=14038 iops
1048s:  ts: 1461892551 rate=14567 iops
1050s:  ts: 1461892553 rate=14835 iops
1052s:  ts: 1461892555 rate=11610 iops
1054s:  ts: 1461892557 rate=8341 iops
1056s:  ts: 1461892559 rate=7756 iops
1058s:  ts: 1461892561 rate=10800 iops
1060s:  ts: 1461892563 rate=12358 iops
1062s:  ts: 1461892565 rate=14082 iops
1064s:  ts: 1461892567 rate=14913 iops
1066s:  ts: 1461892569 rate=10171 iops
1068s:  ts: 1461892571 rate=5363 iops
1070s:  ts: 1461892573 rate=9045 iops
1072s:  ts: 1461892575 rate=12726 iops
1074s:  ts: 1461892577 rate=13899 iops
1076s:  ts: 1461892579 rate=14703 iops
1078s:  ts: 1461892581 rate=12205 iops
1080s:  ts: 1461892583 rate=8461 iops
1082s:  ts: 1461892585 rate=8217 iops
1084s:  ts: 1461892587 rate=8500 iops
1086s:  ts: 1461892589 rate=16322 iops
1088s:  ts: 1461892591 rate=15034 iops
1090s:  ts: 1461892593 rate=13976 iops
1092s:  ts: 1461892595 rate=11183 iops
1094s:  ts: 1461892597 rate=8677 iops
1096s:  ts: 1461892599 rate=8508 iops
1098s:  ts: 1461892601 rate=10397 iops
1100s:  ts: 1461892603 rate=14425 iops
1102s:  ts: 1461892605 rate=13956 iops
1104s:  ts: 1461892607 rate=14967 iops
1106s:  ts: 1461892609 rate=9447 iops
1108s:  ts: 1461892611 rate=5259 iops
1110s:  ts: 1461892613 rate=8852 iops
1112s:  ts: 1461892615 rate=13939 iops
1114s:  ts: 1461892617 rate=12016 iops
1116s:  ts: 1461892619 rate=14841 iops
1118s:  ts: 1461892621 rate=10908 iops
1120s:  ts: 1461892623 rate=9170 iops
1122s:  ts: 1461892625 rate=7558 iops
1124s:  ts: 1461892627 rate=12452 iops
1126s:  ts: 1461892629 rate=13307 iops
1128s:  ts: 1461892631 rate=14017 iops
1130s:  ts: 1461892633 rate=13685 iops
1132s:  ts: 1461892635 rate=10216 iops
1134s:  ts: 1461892637 rate=8695 iops
1136s:  ts: 1461892639 rate=5802 iops
1138s:  ts: 1461892641 rate=14372 iops
1140s:  ts: 1461892643 rate=12688 iops
1142s:  ts: 1461892645 rate=15178 iops
1144s:  ts: 1461892647 rate=13260 iops
1146s:  ts: 1461892649 rate=8571 iops
1148s:  ts: 1461892651 rate=8008 iops
1150s:  ts: 1461892653 rate=8325 iops
1152s:  ts: 1461892655 rate=12311 iops
1154s:  ts: 1461892657 rate=13455 iops
1156s:  ts: 1461892659 rate=14248 iops
1158s:  ts: 1461892661 rate=13068 iops
1160s:  ts: 1461892663 rate=6210 iops
1162s:  ts: 1461892665 rate=6821 iops
1164s:  ts: 1461892667 rate=12741 iops
1166s:  ts: 1461892669 rate=15075 iops
1168s:  ts: 1461892671 rate=14631 iops
1170s:  ts: 1461892673 rate=13865 iops
1172s:  ts: 1461892675 rate=9077 iops
1174s:  ts: 1461892677 rate=9171 iops
1176s:  ts: 1461892679 rate=6097 iops
1178s:  ts: 1461892681 rate=12766 iops
1180s:  ts: 1461892683 rate=13660 iops
1182s:  ts: 1461892685 rate=14030 iops
1184s:  ts: 1461892687 rate=7681 iops
1186s:  ts: 1461892689 rate=9184 iops
1188s:  ts: 1461892691 rate=9006 iops
1190s:  ts: 1461892693 rate=5463 iops
1192s:  ts: 1461892695 rate=14220 iops
1194s:  ts: 1461892697 rate=8240 iops
1196s:  ts: 1461892699 rate=15185 iops
1198s:  ts: 1461892701 rate=9328 iops
1200s:  ts: 1461892703 rate=11035 iops
1202s:  ts: 1461892705 rate=10120 iops
1204s:  ts: 1461892707 rate=5402 iops
1206s:  ts: 1461892709 rate=10030 iops
1208s:  ts: 1461892711 rate=11392 iops
1210s:  ts: 1461892713 rate=19259 iops
1212s:  ts: 1461892715 rate=8264 iops
1214s:  ts: 1461892717 rate=7416 iops
1216s:  ts: 1461892719 rate=10406 iops
1218s:  ts: 1461892721 rate=12679 iops
1220s:  ts: 1461892723 rate=14384 iops
1222s:  ts: 1461892725 rate=13295 iops
1224s:  ts: 1461892727 rate=15893 iops
1226s:  ts: 1461892729 rate=5184 iops
1228s:  ts: 1461892731 rate=7539 iops
1230s:  ts: 1461892733 rate=10994 iops
1232s:  ts: 1461892735 rate=11871 iops
1234s:  ts: 1461892737 rate=16042 iops
1236s:  ts: 1461892739 rate=11514 iops
1238s:  ts: 1461892741 rate=13634 iops
1240s:  ts: 1461892743 rate=8026 iops
1242s:  ts: 1461892745 rate=8041 iops
1244s:  ts: 1461892747 rate=10249 iops
1246s:  ts: 1461892749 rate=9374 iops
1248s:  ts: 1461892751 rate=14274 iops
1250s:  ts: 1461892753 rate=11892 iops
1252s:  ts: 1461892755 rate=14942 iops
1254s:  ts: 1461892757 rate=9410 iops
1256s:  ts: 1461892759 rate=6904 iops
1258s:  ts: 1461892761 rate=10689 iops
1260s:  ts: 1461892763 rate=12858 iops
